Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
277,Sadio Mané\Sadio-Mane,sn SEN,FW,Liverpool,28-326,1992,21.8,7,65,26,40,2.98,1.19,0.11,0.27,12.8,0,0,0,10.5,10.5,0.16,-3.5,-3.5,Matches
278,Javier Manquillo\Javier-Manquillo,es ESP,DF,Newcastle Utd,26-301,1994,8,0,1,0,0,0.13,0,0,,22.8,0,0,0,0,0,0.02,0,0,Matches
279,Fernando Marçal\Fernando-Marcal,br BRA,DF,Wolves,32-011,1989,6.8,0,2,0,0,0.29,0,0,,25.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
280,Solly March\Solly-March,eng ENG,DF,Brighton,26-225,1994,18.6,2,22,4,18.2,1.18,0.22,0.09,0.5,17.3,1,0,0,1.7,1.7,0.08,+0.3,+0.3,Matches
281,Pablo Marí\Pablo-Mari,es ESP,DF,Arsenal,27-183,1993,5,0,1,0,0,0.2,0,0,,12,0,0,0,0,0,0.04,0,0,Matches
282,Anthony Martial\Anthony-Martial,fr FRA,FW,Manchester Utd,25-087,1995,15.5,4,40,18,45,2.58,1.16,0.1,0.22,14.2,0,0,0,5.8,5.8,0.15,-1.8,-1.8,Matches
283,Martinelli\Martinelli,br BRA,FW,Arsenal,19-257,2001,2.3,0,7,2,28.6,3.01,0.86,0,0,12.7,0,0,0,0.8,0.8,0.11,-0.8,-0.8,Matches
284,Emiliano Martínez\Emiliano-Martinez,ar ARG,GK,Aston Villa,28-181,1992,24,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
285,Arthur Masuaku\Arthur-Masuaku,cd COD,DF,West Ham,27-115,1993,9.4,0,6,2,33.3,0.64,0.21,0,0,21.3,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
286,Juan Mata\Juan-Mata,es ESP,FW,Manchester Utd,32-308,1988,3.8,0,4,3,75,1.07,0.8,0,0,17.6,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches
287,Jean-Philippe Mateta\Jean-Philippe-Mateta,fr FRA,FW,Crystal Palace,23-247,1997,1.7,1,2,1,50,1.18,0.59,0.5,1,13.5,0,0,0,0.1,0.1,0.06,+0.9,+0.9,Matches
288,Nemanja Matić\Nemanja-Matic,rs SRB,MF,Manchester Utd,32-213,1988,9.1,0,4,2,50,0.44,0.22,0,0,19.4,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
289,Joël Matip\Joel-Matip,cm CMR,DF,Liverpool,29-206,1991,7.7,1,5,2,40,0.65,0.26,0.2,0.5,6.8,0,0,0,0.6,0.6,0.13,+0.4,+0.4,Matches
290,Neal Maupay\Neal-Maupay,fr FRA,FWMF,Brighton,24-200,1996,19.9,7,52,18,34.6,2.61,0.9,0.08,0.22,14.5,0,3,4,10.2,7.2,0.14,-3.2,-3.2,Matches
291,James McArthur\James-McArthur,sco SCO,MF,Crystal Palace,33-146,1987,16.3,0,6,0,0,0.37,0,0,,19.2,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
292,Oliver McBurnie\Oliver-McBurnie,sco SCO,FW,Sheffield Utd,24-271,1996,13.1,1,27,11,40.7,2.06,0.84,0.04,0.09,11.1,0,0,0,3,3,0.11,-2,-2,Matches
293,Alex McCarthy\Alex-McCarthy,eng ENG,GK,Southampton,31-089,1989,24,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
294,James McCarthy\James-McCarthy,ie IRL,MF,Crystal Palace,30-110,1990,5.3,0,1,0,0,0.19,0,0,,28,0,0,0,0,0,0.01,0,0,Matches
295,John McGinn\John-McGinn,sco SCO,MF,Aston Villa,26-135,1994,23,1,24,5,20.8,1.04,0.22,0.04,0.2,21.1,0,0,0,1.3,1.3,0.05,-0.3,-0.3,Matches
296,David McGoldrick\David-McGoldrick,ie IRL,FWMF,Sheffield Utd,33-093,1987,16.6,5,40,19,47.5,2.41,1.15,0.13,0.26,17.6,0,0,0,3.8,3.8,0.1,+1.2,+1.2,Matches
297,Dwight McNeil\Dwight-McNeil,eng ENG,MF,Burnley,21-100,1999,22.7,1,15,3,20,0.66,0.13,0.07,0.33,23.4,1,0,0,0.7,0.7,0.04,+0.3,+0.3,Matches
298,Scott McTominay\Scott-McTominay,sco SCO,MF,Manchester Utd,24-084,1996,15.7,4,17,5,29.4,1.08,0.32,0.24,0.8,17.5,0,0,0,1.1,1.1,0.06,+2.9,+2.9,Matches
299,Ben Mee\Ben-Mee,eng ENG,DF,Burnley,31-160,1989,18.9,2,11,5,45.5,0.58,0.26,0.18,0.4,12.2,0,0,0,0.9,0.9,0.08,+1.1,+1.1,Matches
300,Benjamin Mendy\Benjamin-Mendy,fr FRA,DF,Manchester City,26-228,1994,5.6,1,3,1,33.3,0.54,0.18,0.33,1,19.1,0,0,0,0.1,0.1,0.04,+0.9,+0.9,Matches
301,Edouard Mendy\Edouard-Mendy,sn SEN,GK,Chelsea,29-001,1992,21,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
302,Nampalys Mendy\Nampalys-Mendy,fr FRA,MF,Leicester City,28-252,1992,14.5,0,3,1,33.3,0.21,0.07,0,0,25.4,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
303,Illan Meslier\Illan-Meslier,fr FRA,GK,Leeds United,21-000,2000,25,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
304,Luka Milivojević\Luka-Milivojevic,rs SRB,MF,Crystal Palace,29-329,1991,17.6,0,12,4,33.3,0.68,0.23,0,0,26.5,5,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches
305,James Milner\James-Milner,eng ENG,MFDF,Liverpool,35-057,1986,7.1,0,4,1,25,0.56,0.14,0,0,24.2,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
306,Yerry Mina\Yerry-Mina,co COL,DF,Everton,26-160,1994,18.2,2,13,4,30.8,0.71,0.22,0.15,0.5,10.9,0,0,0,1,1,0.08,+1.0,+1.0,Matches
307,Takumi Minamino\Takumi-Minamino,jp JPN,MFFW,Liverpool,26-045,1995,3.3,1,7,3,42.9,2.15,0.92,0.14,0.33,16.4,0,0,0,0.7,0.7,0.09,+0.3,+0.3,Matches
308,Takumi Minamino\Takumi-Minamino,jp JPN,MF,Southampton,26-045,1995,2.9,2,3,2,66.7,1.04,0.69,0.67,1,15.2,0,0,0,0.4,0.4,0.13,+1.6,+1.6,Matches
309,Tyrone Mings\Tyrone-Mings,eng ENG,DF,Aston Villa,27-354,1993,22.5,2,16,6,37.5,0.71,0.27,0.13,0.33,9,0,0,0,1.5,1.5,0.09,+0.5,+0.5,Matches
310,Tyrick Mitchell\Tyrick-Mitchell,eng ENG,DF,Crystal Palace,21-182,1999,13,0,1,1,100,0.08,0.08,0,0,12.2,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
311,Aleksandar Mitrović\Aleksandar-Mitrovic,rs SRB,FW,Fulham,26-167,1994,11.4,2,41,10,24.4,3.61,0.88,0.02,0.1,14.2,1,1,2,5,3.5,0.09,-3,-2.5,Matches
312,Jakub Moder\Jakub-Moder,pl POL,MF,Brighton,21-329,1999,0.1,0,1,0,0,12.86,0,0,,33,0,0,0,0,0,0.02,0,0,Matches
313,Jayson Molumby\Jayson-Molumby,ie IRL,MF,Brighton,21-208,1999,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
314,Wes Morgan\Wes-Morgan,jm JAM,DF,Leicester City,37-040,1984,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
315,Mason Mount\Mason-Mount,eng ENG,MFFW,Chelsea,22-051,1999,22.7,4,50,12,24,2.2,0.53,0.06,0.25,20.7,5,1,1,4.1,3.3,0.07,-0.1,-0.3,Matches
316,Lucas Moura\Lucas-Moura,br BRA,FWMF,Tottenham,28-201,1992,9,3,13,6,46.2,1.45,0.67,0.23,0.5,14.7,0,0,0,1.8,1.8,0.14,+1.2,+1.2,Matches
317,Lys Mousset\Lys-Mousset,fr FRA,FW,Sheffield Utd,25-022,1996,2.3,0,3,2,66.7,1.33,0.89,0,0,17.2,0,0,0,0.6,0.6,0.21,-0.6,-0.6,Matches
318,João Moutinho\Joao-Moutinho,pt POR,MF,Wolves,34-175,1986,19.6,1,10,2,20,0.51,0.1,0.1,0.5,23.8,1,0,0,0.4,0.4,0.04,+0.6,+0.6,Matches
319,Joel Mumbongo\Joel-Mumbongo,se SWE,FW,Burnley,22-052,1999,0.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
320,Jacob Murphy\Jacob-Murphy,eng ENG,DFFW,Newcastle Utd,26-006,1995,8.7,1,18,5,27.8,2.07,0.57,0.06,0.2,25.3,5,0,0,0.5,0.5,0.03,+0.5,+0.5,Matches
321,Shkodran Mustafi\Shkodran-Mustafi,de GER,DF,Arsenal,28-319,1992,0.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
322,Marvelous Nakamba\Marvelous-Nakamba,zw ZIM,MF,Aston Villa,27-042,1994,4.2,0,2,1,50,0.48,0.24,0,0,25.6,0,0,0,0,0,0.02,0,0,Matches
323,Wilfred Ndidi\Wilfred-Ndidi,ng NGA,MFDF,Leicester City,24-076,1996,12.6,1,6,1,16.7,0.48,0.08,0.17,1,16.6,0,0,0,0.3,0.3,0.06,+0.7,+0.7,Matches
324,Tanguy Ndombele\Tanguy-Ndombele,fr FRA,MF,Tottenham,24-064,1996,17.1,3,15,7,46.7,0.88,0.41,0.2,0.43,16.4,0,0,0,1.2,1.2,0.08,+1.8,+1.8,Matches
325,Reiss Nelson\Reiss-Nelson,eng ENG,FW,Arsenal,21-082,1999,0.8,0,1,0,0,1.27,0,0,,11.7,0,0,0,0,0,0.05,0,0,Matches
326,Pedro Neto\Pedro-Neto,pt POR,FWMF,Wolves,20-358,2000,24,5,54,19,35.2,2.25,0.79,0.09,0.26,19.5,0,0,0,3.8,3.8,0.07,+1.2,+1.2,Matches
327,Rúben Neves\Ruben-Neves,pt POR,MF,Wolves,23-354,1997,20.3,5,46,12,26.1,2.27,0.59,0.04,0.17,25.6,8,3,3,4.6,2.3,0.05,+0.4,-0.3,Matches
328,Eddie Nketiah\Eddie-Nketiah,eng ENG,FW,Arsenal,21-276,1999,3.6,1,7,4,57.1,1.93,1.1,0.14,0.25,13.5,0,0,0,1.2,1.2,0.17,-0.2,-0.2,Matches
329,Niels Nkounkou\Niels-Nkounkou,fr FRA,DF,Everton,20-121,2000,0.8,0,1,0,0,1.32,0,0,,26.8,0,0,0,0,0,0.02,0,0,Matches
330,Dan Nlundulu\Dan-Nlundulu,eng ENG,FW,Southampton,22-025,1999,1.2,0,1,0,0,0.85,0,0,,9,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches
331,Mark Noble\Mark-Noble,eng ENG,MF,West Ham,33-298,1987,3.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
332,Oliver Norwood\Oliver-Norwood,nir NIR,MF,Sheffield Utd,29-324,1991,13.6,0,4,0,0,0.29,0,0,,23.3,1,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
333,Jack O'Connell\Jack-OConnell,eng ENG,DF,Sheffield Utd,26-338,1994,2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
334,Dara O'Shea\Dara-OShea,ie IRL,DF,West Brom,21-363,1999,17,0,3,0,0,0.18,0,0,,12,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
335,Michael Obafemi\Michael-Obafemi,ie IRL,FW,Southampton,20-239,2000,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
336,Denis Odoi\Denis-Odoi,be BEL,DF,Fulham,32-279,1988,3,0,2,1,50,0.67,0.33,0,0,23.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
337,Angelo Ogbonna\Angelo-Ogbonna,it ITA,DF,West Ham,32-283,1988,22.7,2,9,3,33.3,0.4,0.13,0.22,0.67,8.1,0,0,0,1,1,0.11,+1.0,+1.0,Matches
338,Robin Olsen\Robin-Olsen,se SWE,GK,Everton,31-053,1990,5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
339,Josh Onomah\Josh-Onomah,eng ENG,MF,Fulham,23-309,1997,1.6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
340,Divock Origi\Divock-Origi,be BEL,FW,Liverpool,25-318,1995,2.1,0,7,2,28.6,3.39,0.97,0,0,17.9,0,0,0,0.9,0.9,0.13,-0.9,-0.9,Matches
341,Ben Osborn\Ben-Osborn,eng ENG,MFDF,Sheffield Utd,26-209,1994,9.9,0,3,2,66.7,0.3,0.2,0,0,18.6,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
342,Owen Otasowie\Owen-Otasowie,us USA,MF,Wolves,19-316,2001,1.3,0,2,0,0,1.55,0,0,,10,0,0,0,0.4,0.4,0.21,-0.4,-0.4,Matches
343,Alex Oxlade-Chamberlain\Alex-Oxlade-Chamberlain,eng ENG,MFFW,Liverpool,27-199,1993,2.1,0,5,1,20,2.37,0.47,0,0,24,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
344,Emerson Palmieri\Emerson-Palmieri,it ITA,DF,Chelsea,26-211,1994,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
345,Thomas Partey\Thomas-Partey,gh GHA,MF,Arsenal,27-262,1993,7.8,0,11,3,27.3,1.41,0.38,0,0,25.2,0,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches
346,Rui Patrício\Rui-Patricio,pt POR,GK,Wolves,33-015,1988,26,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
347,Bailey Peacock-Farrell\Bailey-Peacock-Farrell,nir NIR,GK,Burnley,24-124,1996,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
348,Lee Peltier\Lee-Peltier,eng ENG,DF,West Brom,34-081,1986,2.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
349,Nicolas Pépé\Nicolas-Pepe,ci CIV,FW,Arsenal,25-277,1995,10.8,5,30,9,30,2.77,0.83,0.13,0.44,16.9,1,1,1,3.9,3.1,0.1,+1.1,+0.9,Matches
350,Matheus Pereira\Matheus-Pereira,br BRA,MFFW,West Brom,24-301,1996,18.1,5,32,11,34.4,1.76,0.61,0.09,0.27,21.9,6,2,2,3.4,1.9,0.06,+1.6,+1.1,Matches
351,Ricardo Pereira\Ricardo-Pereira,pt POR,DFFW,Leicester City,27-147,1993,5.6,0,4,3,75,0.72,0.54,0,0,22.2,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
352,Ayoze Pérez\Ayoze-Perez,es ESP,FWMF,Leicester City,27-222,1993,9.8,1,19,7,36.8,1.94,0.71,0.05,0.14,16.8,1,0,0,2.2,2.2,0.11,-1.2,-1.2,Matches
353,Kalvin Phillips\Kalvin-Phillips,eng ENG,MF,Leeds United,25-090,1995,17.5,0,8,3,37.5,0.46,0.17,0,0,24.5,1,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
354,Matt Phillips\Matt-Phillips,sco SCO,MFDF,West Brom,29-354,1991,9.9,1,9,5,55.6,0.91,0.51,0.11,0.2,22.1,1,0,0,1.2,1.2,0.13,-0.2,-0.2,Matches
355,Nathaniel Phillips\Nathaniel-Phillips,eng ENG,DF,Liverpool,23-346,1997,7.2,0,2,0,0,0.28,0,0,,8.4,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
356,Jordan Pickford\Jordan-Pickford,eng ENG,GK,Everton,26-360,1994,20,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
357,Erik Pieters\Erik-Pieters,nl NED,DFMF,Burnley,32-207,1988,11.4,0,3,2,66.7,0.26,0.18,0,0,14.1,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
358,Daniel Podence\Daniel-Podence,pt POR,FWMF,Wolves,25-132,1995,14.6,3,25,13,52,1.71,0.89,0.12,0.23,16.2,0,0,0,2.6,2.6,0.1,+0.4,+0.4,Matches
359,Paul Pogba\Paul-Pogba,fr FRA,MFFW,Manchester Utd,27-352,1993,15,3,20,10,50,1.33,0.67,0.15,0.3,16.2,0,0,0,1.3,1.3,0.07,+1.7,+1.7,Matches
360,Nick Pope\Nick-Pope,eng ENG,GK,Burnley,28-317,1992,25,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
361,Dennis Praet\Dennis-Praet,be BEL,MFFW,Leicester City,26-292,1994,7.3,1,8,2,25,1.1,0.28,0.13,0.5,16.1,0,0,0,0.5,0.5,0.07,+0.5,+0.5,Matches
362,Davy Pröpper\Davy-Propper,nl NED,MF,Brighton,29-181,1991,2.2,0,4,2,50,1.83,0.91,0,0,17.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
363,Christian Pulisic\Christian-Pulisic,us USA,FWMF,Chelsea,22-165,1998,11,1,24,6,25,2.19,0.55,0.04,0.17,15.4,0,0,0,2.7,2.7,0.11,-1.7,-1.7,Matches
364,Aaron Ramsdale\Aaron-Ramsdale,eng ENG,GK,Sheffield Utd,22-292,1998,26,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
365,Jacob Ramsey\Jacob-Ramsey,eng ENG,MF,Aston Villa,19-278,2001,2.9,0,5,1,20,1.74,0.35,0,0,19.7,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
366,Kayne Ramsey\Kayne-Ramsey,eng ENG,DF,Southampton,20-143,2000,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
367,Darren Randolph\Darren-Randolph,ie IRL,GK,West Ham,33-294,1987,2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
368,Marcus Rashford\Marcus-Rashford,eng ENG,FW,Manchester Utd,23-122,1997,23.6,9,57,28,49.1,2.42,1.19,0.16,0.32,18.3,4,0,0,7.3,7.3,0.13,+1.7,+1.7,Matches
369,Tim Ream\Tim-Ream,us USA,DF,Fulham,33-148,1987,5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
370,Nathan Redmond\Nathan-Redmond,eng ENG,MFFW,Southampton,26-361,1994,10.6,1,21,5,23.8,1.99,0.47,0.05,0.2,17.3,0,0,0,1.7,1.7,0.08,-0.7,-0.7,Matches
371,Harrison Reed\Harrison-Reed,eng ENG,MF,Fulham,26-034,1995,17.9,0,10,4,40,0.56,0.22,0,0,25.7,0,0,0,0.2,0.2,0.02,-0.2,-0.2,Matches
372,Sergio Reguilón\Sergio-Reguilon,es ESP,DF,Tottenham,24-076,1996,13.6,0,15,3,20,1.1,0.22,0,0,20.1,0,0,0,0.8,0.8,0.06,-0.8,-0.8,Matches
373,Bobby Reid\Bobby-Reid,jm JAM,FWDF,Fulham,28-028,1993,17.6,5,26,7,26.9,1.47,0.4,0.19,0.71,16.2,1,0,0,4.3,4.3,0.16,+0.7,+0.7,Matches
374,Declan Rice\Declan-Rice,eng ENG,MF,West Ham,22-047,1999,26,1,18,5,27.8,0.69,0.19,0,0,20.1,2,1,1,1.7,0.9,0.05,-0.7,-0.9,Matches
375,Lewis Richardson\Lewis-Richardson,eng ENG,FW,Burnley,18-023,2003,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
376,Richarlison\Richarlison,br BRA,FWMF,Everton,23-296,1997,19,5,45,17,37.8,2.36,0.89,0.09,0.24,14.6,0,1,1,7.3,6.5,0.14,-2.3,-2.5,Matches
377,Jaïro Riedewald\Jairo-Riedewald,nl NED,MF,Crystal Palace,24-174,1996,12.6,2,5,2,40,0.4,0.16,0.4,1,18,0,0,0,0.6,0.6,0.12,+1.4,+1.4,Matches
378,Matt Ritchie\Matt-Ritchie,sco SCO,DFMF,Newcastle Utd,31-173,1989,6.1,0,5,1,20,0.82,0.16,0,0,23.1,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
379,Tyler Roberts\Tyler-Roberts,wal WAL,MFFW,Leeds United,22-049,1999,6.7,0,13,4,30.8,1.94,0.6,0,0,18.8,0,0,0,0.9,0.9,0.07,-0.9,-0.9,Matches
380,Andrew Robertson\Andrew-Robertson,sco SCO,DF,Liverpool,26-356,1994,25.9,1,14,4,28.6,0.54,0.15,0.07,0.25,16,0,0,0,1.2,1.2,0.09,-0.2,-0.2,Matches
381,Antonee Robinson\Antonee-Robinson,us USA,DF,Fulham,23-206,1997,18,0,6,2,33.3,0.33,0.11,0,0,16.7,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
382,Callum Robinson\Callum-Robinson,ie IRL,FWMF,West Brom,26-028,1995,13.2,2,20,7,35,1.52,0.53,0.1,0.29,21.9,0,0,0,1.7,1.7,0.09,+0.3,+0.3,Matches
383,Jack Robinson\Jack-Robinson,eng ENG,DF,Sheffield Utd,27-182,1993,6.7,0,3,0,0,0.44,0,0,,9.3,0,0,0,0.3,0.3,0.11,-0.3,-0.3,Matches
384,Hal Robson-Kanu\Hal-Robson-Kanu,wal WAL,FWMF,West Brom,31-285,1989,2.6,0,4,2,50,1.55,0.77,0,0,24.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
385,Marek Rodák\Marek-Rodak,sk SVK,GK,Fulham,24-079,1996,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
386,Joe Rodon\Joe-Rodon,wal WAL,DF,Tottenham,23-131,1997,4.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
387,Rodri\Rodri,es ESP,MF,Manchester City,24-253,1996,21.1,1,22,5,22.7,1.04,0.24,0,0,21.1,0,1,1,1.8,1,0.05,-0.8,-1,Matches
388,Rodrigo\Rodrigo,es ESP,MF,Leeds United,29-361,1991,11,3,34,11,32.4,3.1,1,0.09,0.27,14.9,1,0,0,3.7,3.7,0.11,-0.7,-0.7,Matches
389,James Rodríguez\James-Rodriguez,co COL,FWMF,Everton,29-233,1991,14.9,5,27,15,55.6,1.81,1,0.19,0.33,20.2,3,0,0,2.6,2.6,0.1,+2.4,+2.4,Matches
390,Jay Rodriguez\Jay-Rodriguez,eng ENG,FWMF,Burnley,31-216,1989,12.3,1,21,6,28.6,1.7,0.49,0.05,0.17,19,0,0,0,1.4,1.4,0.07,-0.4,-0.4,Matches
391,Oriol Romeu\Oriol-Romeu,es ESP,MF,Southampton,29-159,1991,19.2,1,14,4,28.6,0.73,0.21,0.07,0.25,24,0,0,0,0.4,0.4,0.03,+0.6,+0.6,Matches
392,Antonio Rüdiger\Antonio-Rudiger,de GER,DF,Chelsea,27-364,1993,11,0,9,4,44.4,0.82,0.36,0,0,18.3,0,0,0,0.2,0.2,0.02,-0.2,-0.2,Matches
393,Mathew Ryan\Mathew-Ryan,au AUS,GK,Arsenal,28-328,1992,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
394,Mathew Ryan\Mathew-Ryan,au AUS,GK,Brighton,28-328,1992,11,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
395,Allan Saint-Maximin\Allan-Saint-Maximin,fr FRA,FWMF,Newcastle Utd,23-355,1997,10.6,2,16,7,43.8,1.51,0.66,0.13,0.29,19.9,0,0,0,1.2,1.2,0.07,+0.8,+0.8,Matches
396,Romain Saïss\Romain-Saiss,ma MAR,DF,Wolves,30-341,1990,16.7,3,18,8,44.4,1.07,0.48,0.17,0.38,12,1,0,0,1.5,1.5,0.08,+1.5,+1.5,Matches
397,Bukayo Saka\Bukayo-Saka,eng ENG,FWDF,Arsenal,19-178,2001,20.7,5,49,18,36.7,2.37,0.87,0.1,0.28,15.6,1,0,0,5.7,5.7,0.12,-0.7,-0.7,Matches
398,Mamadou Sakho\Mamadou-Sakho,fr FRA,DF,Crystal Palace,31-017,1990,3.1,0,1,0,0,0.33,0,0,,12,0,0,0,0,0,0.02,0,0,Matches
399,Mohamed Salah\Mohamed-Salah,eg EGY,FW,Liverpool,28-260,1992,23.4,17,73,30,41.1,3.13,1.28,0.15,0.37,16.1,1,6,6,13.7,9.2,0.13,+3.3,+1.8,Matches
400,Mohammed Salisu\Mohammed-Salisu,gh GHA,DF,Southampton,21-319,1999,2.9,0,2,0,0,0.69,0,0,,14.7,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
401,Davinson Sánchez\Davinson-Sanchez,co COL,DF,Tottenham,24-263,1996,10.5,0,5,0,0,0.48,0,0,,8.6,0,0,0,0.7,0.7,0.15,-0.7,-0.7,Matches
402,Robert Sánchez\Robert-Sanchez,es ESP,GK,Brighton,23-104,1997,15,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
403,Morgan Sanson\Morgan-Sanson,fr FRA,MF,Aston Villa,26-196,1994,0.5,0,1,0,0,1.87,0,0,,30,0,0,0,0,0,0.01,0,0,Matches
404,Romaine Sawyers\Romaine-Sawyers,kn SKN,MF,West Brom,29-120,1991,16.5,0,4,0,0,0.24,0,0,,23.1,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
405,Dane Scarlett\Dane-Scarlett,eng ENG,FW,Tottenham,16-343,2004,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
406,Fabian Schär\Fabian-Schar,ch SUI,DF,Newcastle Utd,29-072,1991,13.4,0,10,4,40,0.74,0.3,0,0,27.2,3,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
407,Jeffrey Schlupp\Jeffrey-Schlupp,gh GHA,MF,Crystal Palace,28-069,1992,10.8,2,13,6,46.2,1.2,0.55,0.15,0.33,12,0,0,0,1.3,1.3,0.1,+0.7,+0.7,Matches
408,Kasper Schmeichel\Kasper-Schmeichel,dk DEN,GK,Leicester City,34-117,1986,26,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
409,Nélson Semedo\Nelson-Semedo,pt POR,DF,Wolves,27-106,1993,22.6,0,18,8,44.4,0.8,0.35,0,0,22.9,0,0,0,1.1,1.1,0.06,-1.1,-1.1,Matches
410,Jamie Shackleton\Jamie-Shackleton,eng ENG,MFDF,Leeds United,21-145,1999,5.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
411,Xherdan Shaqiri\Xherdan-Shaqiri,ch SUI,MFFW,Liverpool,29-143,1991,4.8,0,8,0,0,1.67,0,0,,21.1,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
412,Billy Sharp\Billy-Sharp,eng ENG,FW,Sheffield Utd,35-025,1986,6.9,3,7,3,42.9,1.01,0.43,0.14,0.33,15.3,0,2,2,2.7,1.2,0.17,+0.3,-0.2,Matches
413,Luke Shaw\Luke-Shaw,eng ENG,DF,Manchester Utd,25-233,1995,19.5,0,5,3,60,0.26,0.15,0,0,17.7,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
414,Jonjo Shelvey\Jonjo-Shelvey,eng ENG,MF,Newcastle Utd,29-003,1992,17.1,1,30,7,23.3,1.76,0.41,0.03,0.14,24.3,9,0,0,1.6,1.6,0.05,-0.6,-0.6,Matches
415,Shola Shoretire\Shola-Shoretire,eng ENG,FW,Manchester Utd,17-028,2004,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
416,Gylfi Sigurðsson\Gylfi-Sigurdsson,is ISL,MF,Everton,31-175,1989,15.6,4,23,7,30.4,1.47,0.45,0.09,0.29,20,3,2,2,3.6,2.1,0.09,+0.4,-0.1,Matches
417,Bernardo Silva\Bernardo-Silva,pt POR,MFFW,Manchester City,26-204,1994,16.5,2,21,11,52.4,1.28,0.67,0.1,0.18,15,0,0,0,2.2,2.2,0.1,-0.2,-0.2,Matches
